dxhy.name,force.mean,torque.mean,force.median,torque.median,force.sd,torque.sd,force.max,torque.max,force.skewness,torque.skewness,force.kurtosis,torque.kurtosis,force.IQR,torque.IQR,force.coefficient_of_variation,torque.coefficient_of_variation,spearman.correlation,pearson.correlation
d1h1,214.3571451,13.12429304,250.6761,14.62726,87.24891056,6.665593809,311.9313,311.9313,-1.290475182,-0.602235425,3.36778572,2.779384603,75.36655,6.23321,40.70259031,50.78821229,0.622381624,0.583715947
d1h2,227.138739,16.0115391,264.2845,18.61651,88.47887414,7.940319693,325.6428,325.6428,-1.423323436,-0.819408873,3.788950551,2.505981728,64.64,9.64069,38.9536697,49.59123321,0.71417693,0.622782907
d1h3,230.7699873,16.07010987,268.8206,18.78273,96.86056847,8.215750349,343.4678,343.4678,-1.278268834,-0.77368326,3.426948187,2.290541059,75.9803,12.13397775,41.9727754,51.12441929,0.781244154,0.710478359
d1h4,232.1254401,16.63364087,269.38765,19.28139,113.5635404,8.692528453,381.8601,381.8601,-0.827398575,-0.623691128,2.489545623,2.053339277,130.608575,14.8765915,48.92334955,52.25872386,0.841630166,0.813058509
d1h5,235.1301758,16.98575019,274.4908,19.61383,119.0515796,9.322410857,385.9735,385.9735,-0.761739136,-0.541176648,2.325958982,1.910914237,161.8908,15.957011,50.63219945,54.88371578,0.864339391,0.838573715
d1h6,239.4217885,17.59935458,273.3568,20.94358,120.466646,8.822427516,399.7223,399.7223,-0.744607876,-0.698361043,2.293129783,2.029533473,172.9879,15.292137,50.31565707,50.12926738,0.849128236,0.836038305
d1h7,240.3515215,18.03679593,275.6248,20.94358,122.3570834,9.453034037,396.9428,396.9428,-0.726595484,-0.601710863,2.241345684,1.902064232,175.66335,16.954331,50.90755517,52.40971886,0.867739231,0.851298547
d1h8,244.5590163,17.4846436,286.39815,20.94358,132.3093164,9.758059033,419.6563,419.6563,-0.630380238,-0.492417552,2.028637344,1.712457877,220.713625,18.284082,54.10118112,55.80931048,0.894787888,0.884065407
d1h9,232.4942455,16.56116913,276.7589,19.94627,135.9127315,10.10535087,415.3847,415.3847,-0.519724245,-0.410908491,1.87104931,1.610717132,243.948075,20.444927,58.45853568,61.01834234,0.902863684,0.896066942
d1h10,253.423521,18.32861412,291.5013,22.27333,133.5972885,10.05960343,433.8948,433.8948,-0.588342175,-0.54284325,2.108863855,1.7791504,199.5335,18.616516,52.71700432,54.88469212,0.889850441,0.884329007
d1h11,244.731624,17.37098115,280.161,21.94089,146.1123023,10.57013937,442.4379,442.4379,-0.421278552,-0.415575614,1.804360198,1.553327866,273.4243,20.943578,59.70307391,60.84940905,0.907593644,0.909809907
d1h12,255.2349643,18.17128543,294.9034,23.43686,151.6202793,11.12416381,445.2856,445.2856,-0.456734295,-0.422302028,1.767437759,1.535900781,285.33715,22.107109,59.40419632,61.21836482,0.910923396,0.924827283
d1h13,268.5982925,17.9332556,300.9621,23.60308,153.4653549,10.94142996,472.3387,472.3387,-0.444840847,-0.497813452,1.897302122,1.615652953,262.5433,20.611145,57.13564053,61.01195572,0.906713267,0.913744289
d1h14,277.0843661,20.45013977,310.5601,26.92746,163.1902838,11.80251446,490.8488,490.8488,-0.413870788,-0.468143126,1.778381045,1.591789922,294.91855,22.771983,58.89552199,57.71361268,0.913077389,0.92041426
d1h15,280.5236366,20.57955195,318.7871,27.2599,162.5458159,11.56896868,503.7842,503.7842,-0.41807128,-0.464716452,1.814641417,1.61553952,285.8412,21.608458,57.94371477,56.21584331,0.892076353,0.914442195
d1h16,257.8060758,19.55524231,276.19185,23.93552,176.7035943,12.49270355,502.3256,502.3256,-0.239710077,-0.264285781,1.564224973,1.387046439,358.644925,26.42880325,68.5412839,63.88416647,0.92406929,0.936627779
d1h17,283.416023,21.0106625,318.7871,26.26258,165.7020902,12.00671143,496.5442,496.5442,-0.425568536,-0.459853509,1.790918994,1.603006899,290.1752,23.270644,58.46602758,57.14580121,0.916960677,0.924239473
d1h18,277.7818186,20.61114106,313.3024,26.92746,171.8436662,12.40959849,505.2427,505.2427,-0.359870967,-0.3754173,1.681694204,1.490270198,325.38975,24.932827,61.86281994,60.20820708,0.914054032,0.934964544
d1h19,283.4550794,20.79989792,300.31935,25.26527,181.3043609,12.72107274,527.1215,527.1215,-0.302195758,-0.323178928,1.620310105,1.457619227,361.07028,25.514596,63.96229035,61.15930375,0.920266443,0.937772652
d1h20,288.7592892,21.79721113,311.2457,25.93015,181.8858703,12.78825171,524.2043,524.2043,-0.31206059,-0.325914645,1.624424922,1.496049042,351.1391,25.0159375,62.98875121,58.66921064,0.910438087,0.936161452
d1h21,223.1289097,22.60670412,150.2962,25.59771,227.8647536,15.66626856,592.7578,592.7578,0.429801995,-0.124966781,1.498821673,1.35188066,482.558749,31.91402,102.1224699,69.2992153,0.803006799,0.742531419
d2h1,209.4463244,14.94052011,238.7687,17.28676,100.7347662,7.922006743,355.8082,355.8082,-0.8756484,-0.485932654,2.566407156,1.963158576,120.390825,12.7157455,48.09574316,53.02363429,0.792630621,0.784226562
d2h2,227.0536388,16.62023405,268.8206,19.94627,110.6641015,8.486837063,355.8082,355.8082,-0.934183996,-0.692402677,2.512009219,2.032016226,139.0809,14.294823,48.73918873,51.06328249,0.806970846,0.815946124
d2h3,233.2027898,16.99000188,283.5631,20.61114,121.4994867,8.821357695,396.9428,396.9428,-0.786221562,-0.623800078,2.262006131,1.904627348,171.7329,15.292133,52.10035727,51.92087534,0.841734885,0.843743828
d2h4,242.8008573,17.63401328,282.429,21.60845,125.1282302,8.957411891,408.2654,408.2654,-0.710736049,-0.696013304,2.240971063,1.948624334,176.661225,15.707684,51.53533292,50.79621836,0.854353286,0.855579609
d2h5,235.5312591,17.14152387,272.78975,20.2787,123.7789776,9.049740993,392.8293,392.8293,-0.713388411,-0.616743298,2.176070816,1.831965536,191.145325,16.5387765,52.55309978,52.79426183,0.880947737,0.87675703
d2h6,240.8544105,17.5018706,276.75885,20.61114,125.112334,8.937696998,394.2005,394.2005,-0.720447466,-0.664823387,2.189440674,1.935497492,191.273225,15.541464,51.94521196,51.06709565,0.867028123,0.860761573
d2h7,246.8545439,17.93725491,286.9652,21.94089,134.8309787,9.549151884,425.3517,425.3517,-0.599969168,-0.594619643,2.031751348,1.786783049,224.3929,17.286768,54.61960577,53.23641734,0.880012618,0.878603968
d2h8,239.665306,17.82678027,276.7589,21.94089,133.4476462,9.836661871,412.537,412.537,-0.587164999,-0.529084936,1.982963665,1.70618111,225.9454,18.284074,55.68083611,55.17912783,0.883825911,0.878897209
d2h9,246.2366994,18.50886804,289.2332,22.77199,133.1498109,10.04798136,413.9608,413.9608,-0.645050263,-0.581550409,2.05520382,1.75993867,218.9722,18.782735,54.07390989,54.2873899,0.865279374,0.868746562
d2h10,250.2965085,19.3510438,292.06835,23.93552,136.5788609,10.46245718,432.4709,432.4709,-0.573635677,-0.547719369,2.017684626,1.752008546,221.123325,19.281388,54.56682626,54.06662965,0.88635706,0.880475554
d2h11,250.5883976,19.19904334,290.9343,24.26796,141.6176782,10.5181414,438.1663,438.1663,-0.54924421,-0.503170984,1.9335854,1.635587889,242.02605,19.8631545,56.51406033,54.78471615,0.911663942,0.914518691
d2h12,236.8468844,18.77928501,259.7483,22.93821,161.6040575,11.59989128,470.9149,470.9149,-0.274379365,-0.268786803,1.60711897,1.417689559,324.1846,23.603086,68.23144747,61.76961087,0.909902911,0.922941509
d2h13,267.7069674,22.12912153,300.9621,27.59233,153.5546517,11.57591006,468.0672,468.0672,-0.49293084,-0.492915633,1.883293275,1.653952301,255.1659,21.9408875,57.35922869,52.31075278,0.884942379,0.906527731
d2h14,270.0160965,21.53987948,299.5909,27.2599,158.9564499,11.83980081,478.0341,478.0341,-0.464473234,-0.460024867,1.798268908,1.587651142,276.6666,23.2706385,58.86924964,54.96688513,0.889306865,0.913394553
d2h15,274.1498427,21.86965551,303.0188,27.75855,164.01348,11.86486337,496.5442,496.5442,-0.401974351,-0.453410998,1.786484067,1.578725566,301.29055,23.18753175,59.82621706,54.25263039,0.896062529,0.912314192
d2h16,274.3418735,21.22110521,296.0374,27.59233,160.5231522,11.8310485,496.5442,496.5442,-0.447584369,-0.441367046,1.797902351,1.59573263,281.004825,23.0213175,58.51208572,55.75133048,0.885376303,0.914375224
d2h17,240.1811549,18.57557982,260.8824,19.44761,178.0575945,13.30776158,496.5442,496.5442,-0.103084513,-0.031334914,1.424419355,1.29665958,386.169845,28.257205,74.13470661,71.64116387,0.912455955,0.933016011
d2h18,239.9197474,18.90847079,259.7483,19.94627,185.5143418,13.32317209,516.9114,516.9114,-0.081046281,-0.063917818,1.401649611,1.294469738,408.55904,27.924769,77.32349828,70.4613939,0.894270554,0.93060479
d2h19,262.3910419,21.17157276,269.9547,22.60577,192.7154121,13.82791462,531.4972,531.4972,-0.108082188,-0.076362903,1.453761487,1.381505664,414.35989,27.924773,73.4458809,65.31359184,0.899390283,0.926750735
d2h20,149.4753749,17.51164804,19.99224,9.308257,203.5035438,16.9423895,582.5477,582.5477,1.064482974,0.596856325,2.433478242,1.744774887,271.020324,33.659323,136.1451971,96.74925779,0.812190956,0.734661717
d3h1,214.3571451,13.12429304,250.6761,14.62726,87.24891056,6.665593809,311.9313,311.9313,-1.290475182,-0.602235425,3.36778572,2.779384603,75.36655,6.23321,40.70259031,50.78821229,0.622381624,0.583715947
d3h2,232.4178405,17.63178011,266.5525,19.61383,97.41246481,8.457966378,359.9216,359.9216,-1.048835731,-0.841501489,3.063925656,2.611884525,108.8054,10.63801,41.91264518,47.97000827,0.775412451,0.727866941
d3h3,241.356333,18.42706088,273.3568,21.442235,107.7361294,8.858941304,379.1178,379.1178,-0.898549768,-0.87132382,2.739302341,2.485664522,132.051025,12.3002,44.63778846,48.07571519,0.792335618,0.774443017
d3h4,240.9964024,18.95606328,275.6248,21.60845,111.023668,9.204782155,375.0043,375.0043,-0.865519188,-0.791892576,2.610559745,2.394572157,133.1114,11.96776,46.06859974,48.55851142,0.794420969,0.763074489
d3h5,248.2163874,19.50360805,283.5631,22.27333,112.9095617,9.261139863,381.8601,381.8601,-0.847763906,-0.819673853,2.552062845,2.423396353,152.8682,12.300195,45.48835912,47.484239,0.798452952,0.797065251
d3h6,244.5567724,19.93211889,273.9238,22.93821,109.4439755,9.3765657,385.9735,385.9735,-0.84508577,-0.804926239,2.615833426,2.391668972,145.4198,13.4637275,44.75197085,47.04249332,0.843288388,0.805967847
d3h7,247.0958241,21.0769097,276.7589,25.26527,114.3749183,9.504168698,391.4582,391.4582,-0.702005363,-0.875378016,2.429869326,2.507520203,168.81935,12.63264,46.28767757,45.09279981,0.786744591,0.762828185
d3h8,250.7104524,20.55278813,282.99605,24.26796,112.9522628,9.357624166,394.2005,394.2005,-0.778390665,-0.912954215,2.561438348,2.500088364,160.18875,12.0508675,45.05287343,45.52970675,0.823469704,0.811075597
d3h9,250.1588846,20.51193198,279.0269,24.93283,119.535237,9.889791417,401.1462,401.1462,-0.679296055,-0.787963323,2.348678013,2.279901801,177.1072,14.62726,47.7837264,48.21482163,0.820208416,0.819570091
d3h10,252.2766355,20.36093839,283.56305,25.09905,118.2477541,9.526979175,409.6893,409.6893,-0.670290933,-0.902563795,2.410958139,2.387983532,175.734675,14.0454925,46.87225746,46.790472,0.868655534,0.841896814
d3h11,277.0529966,22.06036191,309.189,27.59233,134.8243304,10.41312328,439.5902,439.5902,-0.599298733,-0.885589356,2.152783932,2.342815785,215.573,14.9597,48.66373297,47.20286693,0.835949667,0.835682542
d3h12,290.6256814,23.69390148,328.3851,29.25452,143.2528547,11.17767864,468.0672,468.0672,-0.566320022,-0.844396178,2.099649093,2.270652714,241.665125,17.45298,49.29118927,47.17534025,0.854902769,0.866232983
d3h13,288.6281813,23.46356011,324.2717,28.92209,141.3065788,10.97005237,460.9479,460.9479,-0.578630383,-0.844821108,2.111985142,2.285952322,233.1754,16.28945,48.95799786,46.75357156,0.862333431,0.869561113
d3h14,291.349469,23.70366477,320.1582,29.58696,146.0575208,11.27460294,479.458,479.458,-0.498001666,-0.811528011,2.048361984,2.218334994,247.97455,16.954325,50.1313839,47.56480929,0.859191313,0.86568118
d3h15,296.2545879,23.92025361,309.87455,29.25452,150.2636355,11.3969732,485.1534,485.1534,-0.472456132,-0.797016753,2.02064682,2.17806804,259.2273,19.03206,50.72111676,47.64570388,0.889246729,0.879526222
d3h16,299.1288751,23.89018592,314.6736,29.58696,154.5850379,11.51430849,495.1204,495.1204,-0.416779833,-0.733043308,1.985708033,2.101485082,268.793875,18.78274,51.67840711,48.19681405,0.907729513,0.891682654
d3h17,313.8428779,24.14391249,337.9832,29.58696,164.2199156,11.5999108,532.9558,532.9558,-0.452341272,-0.748278788,1.929325698,2.084065018,284.7366,18.94895,52.32551929,48.04486764,0.904941417,0.904692776
d3h18,304.5100371,25.18378962,326.3284,31.24915,162.3204413,12.35475361,505.2427,505.2427,-0.434733455,-0.671745989,1.863437932,2.003683455,285.359725,20.36181,53.30544859,49.05835777,0.906665121,0.903594686
d3h19,340.0742185,27.9247717,365.4063,32.74512,183.6154833,13.0789469,566.5032,566.5032,-0.381414132,-0.792860709,1.743924497,2.318777868,333.563725,17.28676,53.99276785,46.83636107,0.894780616,0.86716273
d3h20,311.2717143,25.92349645,231.9645,15.62457,281.6211397,26.09818159,909.1596,909.1596,0.381834665,0.909331612,1.632302921,2.406245643,593.16462,36.817481,90.47437551,100.6738487,0.857010787,0.81768383
d4h1,227.2272141,13.51757491,249.6924,14.9597,113.2440002,7.865974288,383.1445,383.1445,-0.732066979,-0.336293464,2.379877671,1.929612783,147.3078,13.629953,49.83734042,58.19072089,0.819841206,0.782157878
d4h2,252.4276409,15.87762466,291.6516,18.94895,129.4813366,8.770453541,418.0929,418.0929,-0.757010585,-0.653740576,2.263030878,1.940626483,199.7835,15.957012,51.29443675,55.23781882,0.818002616,0.826708886
d4h3,246.4206149,16.21037524,293.3527,19.94627,131.249196,9.323103627,418.0929,418.0929,-0.686623285,-0.578359043,2.11225195,1.806441243,211.557275,17.3698765,53.262263,57.51318824,0.858187197,0.844923082
d4h4,263.2563081,17.53815948,293.9197,21.27602,135.9136354,9.507634459,428.0599,428.0599,-0.629462994,-0.660600358,2.13221219,1.928243591,225.9632,15.957013,51.62787414,54.21113014,0.842332161,0.850548092
d4h5,261.5978959,17.41348513,297.88885,21.60845,131.5641374,9.510833398,419.5168,419.5168,-0.718066362,-0.660181757,2.226859579,1.930044092,194.402175,16.37255975,50.29250599,54.61763297,0.855354475,0.852702693
d4h6,257.2852359,17.00522546,298.4559,21.27602,139.1089693,9.901462346,438.0268,438.0268,-0.583692115,-0.547864226,1.99900905,1.737640179,227.2006,18.284077,54.06799532,58.22599863,0.855825526,0.865576661
d4h7,265.1676729,17.60956536,307.7311,21.94089,138.7916928,9.905009321,438.0268,438.0268,-0.606778181,-0.615844743,2.085703801,1.865271309,223.28185,16.9543285,52.34110602,56.2478921,0.875019614,0.867288338
d4h8,271.8170916,18.29195434,313.2157,23.93552,146.8355573,10.65379925,456.5369,456.5369,-0.548141765,-0.54683417,1.994477647,1.716528811,239.53,19.946262,54.01998692,58.243089,0.913052033,0.90015582
d4h9,283.4418613,19.20209294,311.84455,25.09905,162.4708407,11.2124874,496.4047,496.4047,-0.420753323,-0.504443114,1.846044593,1.653356637,277.097525,21.276014,57.32069356,58.3920067,0.899961587,0.900178835
d4h10,288.3861497,19.51332345,321.4426,24.93283,160.0939953,11.21830089,494.9809,494.9809,-0.469293779,-0.545244904,1.889691264,1.707969199,257.05195,20.444927,55.51376008,57.49046757,0.885915543,0.897073196
d4h11,288.1777167,19.41915705,313.90125,25.26527,167.1515497,11.33067528,505.0685,505.0685,-0.407546739,-0.48879841,1.802302222,1.62466547,289.596425,21.608452,58.00294056,58.34792546,0.900023424,0.90684826
d4h12,297.9713137,19.91346914,326.9272,25.59771,174.6179479,11.77862015,525.4887,525.4887,-0.3927788,-0.452570251,1.758497927,1.584935844,301.89495,22.439553,58.60226802,59.14901152,0.907222159,0.92023623
d4h13,251.815275,17.17968607,266.7029,18.28408,193.8676969,13.35895522,521.113,521.113,-0.067771046,-0.059942995,1.405457309,1.285130987,429.572975,28.090991,76.98806072,77.7601824,0.900641105,0.937410614
d4h14,312.6607573,20.94951521,334.46855,27.426115,184.4211643,12.57227066,545.9089,545.9089,-0.346454406,-0.439411099,1.710359412,1.592145432,329.3707,23.43685975,58.98442962,60.01222717,0.902006255,0.91212234
d4h15,325.7011161,22.37659784,346.1233,25.93015,201.1187934,12.42995201,588.2078,588.2078,-0.299252807,-0.495433373,1.621920796,1.793862925,369.42285,22.60576,61.74949469,55.54889129,0.890145215,0.885409877
d4h16,515.2231838,40.58430878,589.6664,43.54935,243.618386,27.93030306,846.038,846.038,-0.52536112,-0.066854108,1.952869271,1.597283629,455.0552,54.18735,47.28404964,68.82044786,0.944134046,0.952719562
d5h1,206.9217106,12.83360867,224.1766,14.9597,97.39362475,7.255808417,354.3503,354.3503,-0.795047213,-0.332162518,2.579899317,1.987568207,96.225225,11.38599225,47.06786178,56.53755389,0.734923977,0.696335091
d5h2,242.7500065,16.00332212,290.5176,18.94895,117.4620355,8.8056512,401.0067,401.0067,-0.853305574,-0.618119486,2.477076257,1.993061105,147.1858,14.959696,48.38806688,55.02389525,0.83617288,0.809418581
d5h3,246.7626732,15.93144056,289.9506,19.28139,130.4675817,9.062886483,408.126,408.126,-0.670319322,-0.559108355,2.151648517,1.829912385,198.966975,16.7049965,52.87168436,56.88679845,0.879797936,0.844280441
d5h4,245.2808165,16.43329362,288.81655,19.28139,130.2397292,9.545697413,422.3645,422.3645,-0.624187845,-0.503207526,2.145040994,1.818977669,195.008975,17.619197,53.0982125,58.08754858,0.863718293,0.851642875
d5h5,252.2486798,16.58371362,297.3218,19.61383,136.9594056,9.430780768,426.636,426.636,-0.574195317,-0.543239883,2.045616565,1.809379121,220.3448,17.286759,54.29539045,56.86772567,0.86256142,0.857210013
d5h6,255.6673604,16.99250069,297.3218,20.2787,137.8030215,9.796323055,433.7553,433.7553,-0.560372501,-0.512762395,2.040757174,1.762568658,220.2228,18.616517,53.89934063,57.65086159,0.868669493,0.858506238
d5h7,247.7283696,16.60455718,284.8474,19.61383,134.2918715,9.565354406,429.4837,429.4837,-0.53700214,-0.49613454,2.045860767,1.767074587,207.25495,17.78542,54.20932281,57.60680219,0.881528729,0.866685767
d5h8,255.9397113,17.2820146,293.3527,20.94358,136.0052872,9.801323846,430.9076,430.9076,-0.559233761,-0.531687532,2.042506958,1.819434562,219.6012,17.28676575,53.13957983,56.71401207,0.890181706,0.867438948
d5h9,258.8685623,16.99022284,289.3836,21.27602,141.9278313,9.957295799,442.2984,442.2984,-0.50640233,-0.508659381,1.975139655,1.701802066,231.314,18.284077,54.82621375,58.60603416,0.911408529,0.885244363
d5h10,253.6789458,17.13263385,294.4867,21.442235,147.9065793,10.68979541,445.1461,445.1461,-0.466314543,-0.448300309,1.848854268,1.586369107,262.34055,21.3591255,58.3046334,62.39434931,0.924231077,0.910914169
d5h11,277.3690883,17.65481966,314.58685,23.60308,162.6268739,11.1240126,489.2855,489.2855,-0.416334073,-0.46060854,1.80285921,1.550650501,282.86925,21.608458,58.63193874,63.00836156,0.921378705,0.916974479
d5h12,276.7853785,18.2740465,299.5899,23.436865,175.1970254,12.01744162,515.2786,515.2786,-0.307965332,-0.350743727,1.672673498,1.451753214,341.37517,24.600391,63.29706663,65.76234562,0.915383224,0.925593335
d5h13,282.4653935,18.73074457,304.9888,25.59771,171.2949011,11.74052845,507.9857,507.9857,-0.372370868,-0.42327712,1.711093777,1.516230958,324.33925,22.93821,60.64279204,62.68052189,0.906132932,0.921513988
d5h14,274.6678387,18.28830279,284.84745,22.43955,177.598183,12.09504675,513.82,513.82,-0.265892012,-0.305601773,1.626696246,1.449537738,348.94726,24.35106325,64.65925674,66.13542489,0.908360115,0.927112657
d5h15,286.5240722,19.21170879,296.1878,23.93552,177.4437784,12.14485777,509.4443,509.4443,-0.334647061,-0.387642958,1.645577695,1.503212299,345.4125,23.603083,61.92979774,63.21591639,0.880162703,0.913172245
d5h16,291.2374113,19.97105251,311.15895,25.93015,178.2795404,12.12115181,510.9029,510.9029,-0.35132147,-0.398264868,1.661478489,1.526624206,335.956925,23.603077,61.21450523,60.69360541,0.901142052,0.924419591
d5h17,293.7229014,19.66713026,310.4734,24.26796,188.9413488,12.67515426,534.2402,534.2402,-0.284870848,-0.319194109,1.587982155,1.464450925,379.1048,24.93283,64.32639332,64.44841768,0.911850067,0.93282863
d5h18,309.0827065,21.0645917,311.8445,24.93283,198.9791675,13.26795827,570.7048,570.7048,-0.237624273,-0.278453507,1.567414693,1.487223295,387.07265,26.262579,64.37732144,62.98701852,0.913411821,0.93931415
d5h19,404.8983223,44.83715421,408.8379,46.37507,171.5384484,19.19779154,720.3225,720.3225,-0.131884691,-0.517394574,2.491563076,3.174675311,245.662325,16.95433,42.36580864,42.81670388,0.391165154,0.572642871
d6h1,187.8530473,11.09273581,215.6713,11.80154,72.24598879,5.634528726,276.9092,276.9092,-1.625798059,-0.029131615,4.252132579,3.157095871,18.1445,4.321691,38.45877926,50.79476175,0.643303557,0.566663776
d6h2,246.3411564,15.58341603,295.6208,18.78273,128.5209487,8.661006936,408.126,408.126,-0.767426991,-0.517227847,2.180904227,1.902983116,193.823675,15.12591825,52.17193529,55.5783592,0.774621838,0.76113798
d6h3,263.6441668,16.73426146,311.8445,19.28139,146.4605901,9.913777728,453.6892,453.6892,-0.597212795,-0.454354605,1.943407635,1.688847875,251.9974,18.948955,55.55237268,59.24239769,0.825918041,0.822323035
d6h4,270.6966931,17.0421395,311.15895,20.2787,150.2784233,9.627761779,466.5039,466.5039,-0.546391009,-0.501265623,1.929415845,1.706967231,259.3026,18.616517,55.51542633,56.49385616,0.810076912,0.825912784
d6h5,272.9029102,17.22717555,311.84455,20.94358,150.9865967,9.694768599,459.3846,459.3846,-0.562846403,-0.499555141,1.934778923,1.707426395,253.8102,18.6996285,55.32612187,56.27601907,0.840604884,0.851082661
d6h6,269.0160906,16.7228621,305.67435,20.94358,149.5074819,9.7894924,475.047,475.047,-0.538186786,-0.469300062,1.934888561,1.68398001,252.935725,18.616513,55.57566522,58.539575,0.84874091,0.852952328
d6h7,265.940034,16.83080522,301.1553,20.77736,152.3647075,9.983006659,467.9277,467.9277,-0.487027428,-0.445854785,1.861662851,1.666656957,266.6733,19.36449925,57.2928811,59.31389811,0.859167596,0.858724745
d6h8,276.2073458,16.94973015,313.2157,21.60845,156.4974485,9.833146239,477.8947,477.8947,-0.495683456,-0.494603388,1.88652752,1.666739473,272.9377,18.616515,56.65940856,58.01358577,0.847175824,0.856621256
d6h9,275.9108012,17.46468826,313.2157,22.27333,149.8304896,9.98036936,472.1993,472.1993,-0.570081409,-0.544805782,1.985592918,1.727135208,245.6347,18.616517,54.30395944,57.14599203,0.839628346,0.84752788
d6h10,288.1742317,18.56595953,325.556,23.60308,163.0396857,10.93545786,497.8286,497.8286,-0.473264387,-0.498358921,1.87836653,1.667252822,278.8996,19.946264,56.57677467,58.90058009,0.896922095,0.888929152
d6h11,296.8355795,18.94293534,325.556,24.60039,172.4150653,11.28135098,521.113,521.113,-0.416885289,-0.475813321,1.808016449,1.613016836,306.9853,20.943582,58.08436631,59.55439733,0.880033776,0.888073555
d6h12,286.7666618,18.17763844,301.56085,23.27064,175.712944,11.50290317,521.113,521.113,-0.346755828,-0.393235189,1.714609115,1.52484285,332.838,22.3564395,61.27383946,63.28051473,0.890663561,0.900487059
d6h13,300.0513519,19.44611152,322.12815,24.26796,176.0298305,11.38350455,540.0745,540.0745,-0.377520236,-0.477365062,1.803690952,1.610153158,294.46405,22.439546,58.66656804,58.53871885,0.881588614,0.892573253
d6h14,305.0205851,19.55392891,324.87045,24.93283,179.7695252,11.6627049,545.9089,545.9089,-0.347198972,-0.460675546,1.751636477,1.596510805,309.3833,22.522659,58.93685016,59.6437931,0.891019323,0.901503628
